time,num
2015-06-16 06,10429
2015-06-16 07,17775
2015-06-16 08,22169
2015-06-16 09,20726
2015-06-16 10,18292
2015-06-16 11,18169
2015-06-16 12,18999
2015-06-16 13,19952
2015-06-16 14,19656
2015-06-16 15,17553
2015-06-16 16,15163
2015-06-16 17,20925
2015-06-16 18,22745
2015-06-16 19,23990
2015-06-16 20,23921
2015-06-16 21,24958
2015-06-16 22,22999
2015-06-16 23,17666
2015-06-17 00,15554
2015-06-17 01,7845
2015-06-17 02,4689
2015-06-17 03,2966
2015-06-17 04,2585
2015-06-17 05,3903
2015-06-17 06,10595
2015-06-17 07,18648
2015-06-17 08,22869
2015-06-17 09,20691
2015-06-17 10,18745
2015-06-17 11,19400
2015-06-17 12,19947
2015-06-17 13,19344
2015-06-17 14,19068
2015-06-17 15,17309
2015-06-17 16,14697
2015-06-17 17,18746
2015-06-17 18,24118
2015-06-17 19,27007
2015-06-17 20,25713
2015-06-17 21,26490
2015-06-17 22,25033
2015-06-17 23,20542
2015-06-18 00,13951
2015-06-18 01,8381
2015-06-18 02,4955
2015-06-18 03,3348
2015-06-18 04,2790
2015-06-18 05,4069
2015-06-18 06,10628
2015-06-18 07,18821
2015-06-18 08,22898
2015-06-18 09,22181
2015-06-18 10,19785
2015-06-18 11,19165
2015-06-18 12,19502
2015-06-18 13,19233
2015-06-18 14,19848
2015-06-18 15,18244
2015-06-18 16,14900
2015-06-18 17,18878
2015-06-18 18,24644
2015-06-18 19,26397
2015-06-18 20,23397
2015-06-18 21,25821
2015-06-18 22,25355
2015-06-18 23,22932
2015-06-19 00,18220
2015-06-19 01,12214
2015-06-19 02,7486
2015-06-19 03,4903
2015-06-19 04,3888
2015-06-19 05,4304
2015-06-19 06,10037
2015-06-19 07,16731
2015-06-19 08,21389
2015-06-19 09,20626
2015-06-19 10,18669
2015-06-19 11,18702
2015-06-19 12,19331
2015-06-19 13,18609
2015-06-19 14,19627
2015-06-19 15,17892
2015-06-19 16,15056
2015-06-19 17,19305
2015-06-19 18,24710
2015-06-19 19,26126
2015-06-19 20,23108
2015-06-19 21,24429
2015-06-19 22,25627
2015-06-19 23,25262
2015-06-20 00,24044
2015-06-20 01,21341
2015-06-20 02,16601
2015-06-20 03,12344
2015-06-20 04,8068
2015-06-20 05,3880
2015-06-20 06,4460
2015-06-20 07,6336
2015-06-20 08,9435
2015-06-20 09,13580
2015-06-20 10,16688
2015-06-20 11,19006
2015-06-20 12,20928
2015-06-20 13,19462
2015-06-20 14,18674
2015-06-20 15,18707
2015-06-20 16,17090
2015-06-20 17,19258
2015-06-20 18,21580
2015-06-20 19,22504
2015-06-20 20,18027
2015-06-20 21,19457
2015-06-20 22,21489
2015-06-20 23,23348
2015-06-21 00,21860
2015-06-21 01,20794
2015-06-21 02,15953
2015-06-21 03,11352
2015-06-21 04,7567
2015-06-21 05,3344
2015-06-21 06,3349
2015-06-21 07,4583
2015-06-21 08,6931
2015-06-21 09,10659
2015-06-21 10,14462
2015-06-21 11,16886
2015-06-21 12,18100
2015-06-21 13,18379
2015-06-21 14,18569
2015-06-21 15,17331
2015-06-21 16,17019
2015-06-21 17,18583
2015-06-21 18,20906
2015-06-21 19,17559
2015-06-21 20,15546
2015-06-21 21,17366
2015-06-21 22,17159
2015-06-21 23,13385
2015-06-22 00,8006
2015-06-22 01,5429
2015-06-22 02,3218
2015-06-22 03,2291
2015-06-22 04,2293
2015-06-22 05,3826
2015-06-22 06,10054
2015-06-22 07,16057
2015-06-22 08,19907
2015-06-22 09,18729
2015-06-22 10,16675
2015-06-22 11,16921
2015-06-22 12,17582
2015-06-22 13,17570
2015-06-22 14,18473
2015-06-22 15,17573
2015-06-22 16,16259
2015-06-22 17,19110
2015-06-22 18,23485
2015-06-22 19,23221
2015-06-22 20,20438
2015-06-22 21,21983
2015-06-22 22,20664
2015-06-22 23,15372
2015-06-23 00,9687
2015-06-23 01,5880
2015-06-23 02,3445
2015-06-23 03,2343
2015-06-23 04,2167
2015-06-23 05,3660
2015-06-23 06,10396
2015-06-23 07,17221
2015-06-23 08,21909
2015-06-23 09,21584
2015-06-23 10,19909
2015-06-23 11,19637
2015-06-23 12,20393
2015-06-23 13,19835
2015-06-23 14,20411
2015-06-23 15,18307
2015-06-23 16,15792
2015-06-23 17,19960
2015-06-23 18,25365
2015-06-23 19,24879
2015-06-23 20,21233
2015-06-23 21,24163
2015-06-23 22,22479
2015-06-23 23,17601
2015-06-24 00,11642
2015-06-24 01,7213
2015-06-24 02,4217
2015-06-24 03,3012
2015-06-24 04,2644
2015-06-24 05,3916
2015-06-24 06,10420
2015-06-24 07,17670
2015-06-24 08,22111
2015-06-24 09,20581
2015-06-24 10,18464
2015-06-24 11,18994
2015-06-24 12,19397
2015-06-24 13,19173
2015-06-24 14,19315
2015-06-24 15,17769
2015-06-24 16,15276
2015-06-24 17,18486
2015-06-24 18,23199
2015-06-24 19,24751
2015-06-24 20,22593
2015-06-24 21,25814
2015-06-24 22,24988
2015-06-24 23,20731
2015-06-25 00,14984
2015-06-25 01,8950
2015-06-25 02,5732
2015-06-25 03,3681
2015-06-25 04,3145
2015-06-25 05,4018
2015-06-25 06,10414
2015-06-25 07,17517
2015-06-25 08,21763
2015-06-25 09,20648
2015-06-25 10,18459
2015-06-25 11,18961
2015-06-25 12,19466
2015-06-25 13,19264
2015-06-25 14,19249
2015-06-25 15,17532
2015-06-25 16,14319
2015-06-25 17,18001
2015-06-25 18,22869
2015-06-25 19,24730
2015-06-25 20,22836
2015-06-25 21,26163
2015-06-25 22,24596
2015-06-25 23,22657
2015-06-26 00,18502
2015-06-26 01,12555
2015-06-26 02,8141
2015-06-26 03,5458
2015-06-26 04,4209
2015-06-26 05,4334
2015-06-26 06,9806
2015-06-26 07,16152
2015-06-26 08,20710
2015-06-26 09,19674
2015-06-26 10,17733
2015-06-26 11,18657
2015-06-26 12,18984
2015-06-26 13,17870
2015-06-26 14,18430
2015-06-26 15,16791
2015-06-26 16,13737
2015-06-26 17,17651
2015-06-26 18,23012
2015-06-26 19,25326
2015-06-26 20,22463
2015-06-26 21,24603
2015-06-26 22,25658
2015-06-26 23,25259
2015-06-27 00,24128
2015-06-27 01,21829
2015-06-27 02,17453
2015-06-27 03,13534
2015-06-27 04,9130
2015-06-27 05,4440
2015-06-27 06,4703
2015-06-27 07,6582
2015-06-27 08,9515
2015-06-27 09,13385
2015-06-27 10,15657
2015-06-27 11,18138
2015-06-27 12,19750
2015-06-27 13,19521
2015-06-27 14,19655
2015-06-27 15,21642
2015-06-27 16,18731
2015-06-27 17,20425
2015-06-27 18,24792
2015-06-27 19,26633
2015-06-27 20,22565
2015-06-27 21,24932
2015-06-27 22,24920
2015-06-27 23,24939
2015-06-28 00,22701
2015-06-28 01,19524
2015-06-28 02,15530
2015-06-28 03,11825
2015-06-28 04,7491
2015-06-28 05,3746
2015-06-28 06,3827
2015-06-28 07,5032
2015-06-28 08,7869
2015-06-28 09,11623
2015-06-28 10,16135
2015-06-28 11,17004
2015-06-28 12,18267
2015-06-28 13,16414
2015-06-28 14,15265
2015-06-28 15,14689
2015-06-28 16,13923
2015-06-28 17,15466
2015-06-28 18,15589
2015-06-28 19,15880
2015-06-28 20,14709
2015-06-28 21,16729
2015-06-28 22,16537
2015-06-28 23,14555
2015-06-29 00,10125
2015-06-29 01,6654
2015-06-29 02,4546
2015-06-29 03,3118
2015-06-29 04,3056
2015-06-29 05,4218
2015-06-29 06,10131
2015-06-29 07,15240
2015-06-29 08,18897
2015-06-29 09,18802
2015-06-29 10,16439
2015-06-29 11,16086
2015-06-29 12,16634
2015-06-29 13,16395
2015-06-29 14,17054
2015-06-29 15,16083
2015-06-29 16,14286
2015-06-29 17,16552
2015-06-29 18,20956
2015-06-29 19,21584
2015-06-29 20,19568
2015-06-29 21,21186
2015-06-29 22,19698
2015-06-29 23,15240
2015-06-30 00,9761
2015-06-30 01,5659
2015-06-30 02,3574
2015-06-30 03,2263
2015-06-30 04,2274
2015-06-30 05,3643
2015-06-30 06,10430
2015-06-30 07,15984
2015-06-30 08,19878
2015-06-30 09,19655
2015-06-30 10,17662
2015-06-30 11,17253
2015-06-30 12,17892
2015-06-30 13,17611
2015-06-30 14,17931
2015-06-30 15,16517
2015-06-30 16,14194
2015-06-30 17,17130
2015-06-30 18,21074
2015-06-30 19,23587
2015-06-30 20,20804
2015-06-30 21,23554
2015-06-30 22,21925
2015-06-30 23,17837
2015-07-01 00,13073
2015-07-01 01,7244
2015-07-01 02,4566
2015-07-01 03,3047
2015-07-01 04,2858
2015-07-01 05,3680
2015-07-01 06,10231
2015-07-01 07,16270
2015-07-01 08,20484
2015-07-01 09,19795
2015-07-01 10,17583
2015-07-01 11,17257
2015-07-01 12,17944
2015-07-01 13,17995
2015-07-01 14,17701
2015-07-01 15,16528
2015-07-01 16,14339
2015-07-01 17,17788
2015-07-01 18,23300
2015-07-01 19,24326
2015-07-01 20,21763
2015-07-01 21,23177
2015-07-01 22,22711
2015-07-01 23,18983
2015-07-02 00,13663
2015-07-02 01,8540
2015-07-02 02,5516
2015-07-02 03,3692
2015-07-02 04,3187
2015-07-02 05,3808
2015-07-02 06,9146
2015-07-02 07,14343
2015-07-02 08,18776
2015-07-02 09,17948
2015-07-02 10,15664
2015-07-02 11,15901
2015-07-02 12,17187
2015-07-02 13,17380
2015-07-02 14,17821
2015-07-02 15,16657
2015-07-02 16,14104
2015-07-02 17,17290
2015-07-02 18,21083
2015-07-02 19,21004
2015-07-02 20,19945
2015-07-02 21,18964
2015-07-02 22,19266
2015-07-02 23,18275
2015-07-03 00,16094
2015-07-03 01,12819
2015-07-03 02,9839
2015-07-03 03,7095
2015-07-03 04,4988
2015-07-03 05,3324
2015-07-03 06,4855
2015-07-03 07,6483
2015-07-03 08,8308
2015-07-03 09,10560
2015-07-03 10,12185
2015-07-03 11,13033
2015-07-03 12,13943
2015-07-03 13,14218
2015-07-03 14,14488
2015-07-03 15,14863
2015-07-03 16,14360
2015-07-03 17,15408
2015-07-03 18,16414
2015-07-03 19,16706
2015-07-03 20,13989
2015-07-03 21,14395
2015-07-03 22,15897
2015-07-03 23,15696
2015-07-04 00,14856
